3gpp|.3gp
vnd.fujitsu.oasys|.oas
vnd.fujitsu.oasys2|.oa2
vnd.fujitsu.oasys3|.oa3
vnd.fujitsu.oasysgp|.fg5
vnd.fujitsu.oasysprs|.bh2
vnd.fujixerox.ddd|.ddd
vnd.fujixerox.docuworks|.xdw
vnd.fujixerox.docuworks.binder|.xbd
vnd.fujixerox.edmics-mmr|.mmr
vnd.fujixerox.edmics-rlc|.rlc
vnd.fuzzysheet|.fzs
vnd.fvt|.fvt
vnd.gdl|.gdl
vnd.genomatix.tuxedo|.txd
vnd.geogebra.file|.ggb
vnd.geogebra.tool|.ggt
vnd.geometry-explorer|.gex
vnd.geonext|.gxt
vnd.geoplan|.g2w
vnd.geospace|.g3w
vnd.gmx|.gmx
vnd.google-earth.kml+xml|.kml
vnd.google-earth.kmz|.kmz
vnd.grafeq|.gqf
vnd.graphviz|.gv
vnd.groove-account|.gac
vnd.groove-help|.ghf
vnd.groove-identity-message|.gim
vnd.groove-injector|.grv
vnd.groove-tool-message|.gtm
vnd.groove-tool-template|.tpl
vnd.groove-vcard|.vcg
vnd.gtw|.gtw
vnd.hal+xml|.hal
vnd.handheld-entertainment+xml|.zmm
vnd.hbci|.hbci
vnd.hhe.lesson-player|.les
vnd.hp-hpgl|.hpgl
vnd.hp-hpid|.hpid
vnd.hp-hps|.hps
vnd.hp-jlyt|.jlt
vnd.hp-pcl|.pcl
vnd.hp-pclxl|.pclxl
vnd.hydrostatix.sof-data|.sfd-hdstx
vnd.hzn-3d-crossword|.x3d
vnd.ibm.minipay|.mpy
vnd.ibm.modcap|.afp
vnd.ibm.rights-management|.irm
vnd.ibm.secure-container|.sc
vnd.iccprofile|.icc
vnd.igloader|.igl
vnd.immervision-ivp|.ivp
vnd.immervision-ivu|.ivu
vnd.in3d.3dml|.3dml
vnd.in3d.spot|.spot
vnd.insors.igm|.igm
vnd.intercon.formnet|.xpw
vnd.intergeo|.i2g
vnd.intu.qbo|.qbo
vnd.intu.qfx|.qfx
vnd.ipunplugged.rcprofile|.rcprofile
vnd.irepository.package+xml|.irp
vnd.is-xpr|.xpr
vnd.isac.fcs|.fcs
vnd.jam|.jam
vnd.jcp.javame.midlet-rms|.rms
vnd.jisp|.jisp
vnd.joost.joda-archive|.joda
vnd.kahootz|.ktz
vnd.kde.karbon|.karbon
vnd.kde.kchart|.chrt
vnd.kde.kformula|.kfo
vnd.kde.kivio|.flw
vnd.kde.kontour|.kon
vnd.kde.kpresenter|.kpr
vnd.kde.kspread|.ksp
vnd.kde.kword|.kwd
vnd.kenameaapp|.htke
vnd.kidspiration|.kia
vnd.kinar|.kne
vnd.koan|.skp
vnd.kodak-descriptor|.sse
vnd.las.las+xml|.lasxml
vnd.llamagraphics.life-balance.desktop|.lbd
vnd.llamagraphics.life-balance.exchange+xml|.lbe
vnd.lotus-1-2-3|0.123
vnd.lotus-approach|.apr
vnd.lotus-freelance|.pre
vnd.lotus-notes|.nsf
vnd.lotus-organizer|.org
vnd.lotus-screencam|.scm
vnd.lotus-wordpro|.lwp
vnd.lucent.voice|.lvp
vnd.macports.portpkg|.portpkg
vnd.mcd|.mcd
vnd.medcalcdata|.mc1
vnd.mediastation.cdkey|.cdkey
vnd.mfer|.mwf
vnd.mfmp|.mfm
vnd.micrografx.flo|.flo
vnd.micrografx.igx|.igx
vnd.mif|.mif
vnd.mobius.daf|.daf
vnd.mobius.dis|.dis
vnd.mobius.mbk|.mbk
vnd.mobius.mqy|.mqy
vnd.mobius.msl|.msl
vnd.mobius.plc|.plc
vnd.mobius.txf|.txf
vnd.mophun.application|.mpn
vnd.mophun.certificate|.mpc
vnd.mozilla.xul+xml|.xul
vnd.mpegurl|.mxu
vnd.ms-artgalry|.cil
vnd.ms-cab-compressed|.cab
vnd.ms-excel|.xls
vnd.ms-excel.addin.macroenabled.12|.xlam
vnd.ms-excel.sheet.binary.macroenabled.12|.xlsb
vnd.ms-excel.sheet.macroenabled.12|.xlsm
vnd.ms-excel.template.macroenabled.12|.xltm
vnd.ms-fontobject|.eot
vnd.ms-htmlhelp|.chm
vnd.ms-ims|.ims
vnd.ms-lrm|.lrm
vnd.ms-modi|.mdi
vnd.ms-officetheme|.thmx
vnd.ms-pki.seccat|.cat
vnd.ms-pki.stl|.stl
vnd.ms-playready.media.pya|.pya
vnd.ms-playready.media.pyv|.pyv
vnd.ms-powerpoint|.ppt
vnd.ms-powerpoint.addin.macroenabled.12|.ppam
vnd.ms-powerpoint.presentation.macroenabled.12|.pptm
vnd.ms-powerpoint.slide.macroenabled.12|.sldm
vnd.ms-powerpoint.slideshow.macroenabled.12|.ppsm
vnd.ms-powerpoint.template.macroenabled.12|.potm
vnd.ms-project|.mpp
vnd.ms-word.document.macroenabled.12|.docm
vnd.ms-word.template.macroenabled.12|.dotm
vnd.ms-works|.wps
vnd.ms-wpl|.wpl
vnd.ms-xpsdocument|.xps
vnd.mseq|.mseq
vnd.mts|.mts
vnd.musician|.mus
vnd.muvee.style|.msty
vnd.net-fpx|.npx
vnd.neurolanguage.nlu|.nlu
vnd.noblenet-directory|.nnd
vnd.noblenet-sealer|.nns
vnd.noblenet-web|.nnw
vnd.nokia.n-gage.data|.ngdat
vnd.nokia.n-gage.symbian.install|.n-gage
vnd.nokia.radio-preset|.rpst
vnd.nokia.radio-presets|.rpss
vnd.novadigm.edm|.edm
vnd.novadigm.edx|.edx
vnd.novadigm.ext|.ext
vnd.nuera.ecelp4800|.ecelp4800
vnd.nuera.ecelp7470|.ecelp7470
vnd.nuera.ecelp9600|.ecelp9600
vnd.oasis.opendocument.chart|.odc
vnd.oasis.opendocument.chart-template|.otc
vnd.oasis.opendocument.database|.odb
vnd.oasis.opendocument.formula|.odf
vnd.oasis.opendocument.formula-template|.odft
vnd.oasis.opendocument.graphics|.odg
vnd.oasis.opendocument.graphics-template|.otg
vnd.oasis.opendocument.image|.odi
vnd.oasis.opendocument.image-template|.oti
vnd.oasis.opendocument.presentation|.odp
vnd.oasis.opendocument.presentation-template|.otp
vnd.oasis.opendocument.spreadsheet|.ods
vnd.oasis.opendocument.spreadsheet-template|.ots
vnd.oasis.opendocument.text|.odt
vnd.oasis.opendocument.text-master|.odm
vnd.oasis.opendocument.text-template|.ott
vnd.oasis.opendocument.text-web|.oth
vnd.olpc-sugar|.xo
vnd.oma.dd2+xml|.dd2
vnd.openofficeorg.extension|.oxt
vnd.openxmlformats-officedocument.presentationml.presentation|.pptx
vnd.openxmlformats-officedocument.presentationml.slide|.sldx
vnd.openxmlformats-officedocument.presentationml.slideshow|.ppsx
vnd.openxmlformats-officedocument.presentationml.template|.potx
vnd.openxmlformats-officedocument.spreadsheetml.sheet|.xlsx
vnd.openxmlformats-officedocument.spreadsheetml.template|.xltx
vnd.openxmlformats-officedocument.wordprocessingml.document|.docx
vnd.openxmlformats-officedocument.wordprocessingml.template|.dotx
vnd.osgeo.mapguide.package|.mgp
vnd.osgi.dp|.dp
vnd.palm|.pdb
vnd.pawaafile|.paw
vnd.pg.format|.str
vnd.pg.osasli|.ei6
vnd.picsel|.efif
vnd.pmi.widget|.wg
vnd.pocketlearn|.plf
vnd.powerbuilder6|.pbd
vnd.previewsystems.box|.box
vnd.proteus.magazine|.mgz
vnd.publishare-delta-tree|.qps
vnd.pvi.ptid1|.ptid
vnd.quark.quarkxpress|.qxd
vnd.realvnc.bed|.bed
vnd.recordare.musicxml|.mxl
vnd.recordare.musicxml+xml|.musicxml
vnd.rig.cryptonote|.cryptonote
vnd.rim.cod|.cod
vnd.rip|.rip
vnd.rn-realmedia|.rm
vnd.route66.link66+xml|.link66
vnd.sailingtracker.track|.st
vnd.seemail|.see
vnd.sema|.sema
vnd.semd|.semd
vnd.semf|.semf
vnd.shana.informed.formdata|.ifm
vnd.shana.informed.formtemplate|.itp
vnd.shana.informed.interchange|.iif
vnd.shana.informed.package|.ipk
vnd.simtech-mindmapper|.twd
vnd.smaf|.mmf
vnd.smart.teacher|.teacher
vnd.solent.sdkm+xml|.sdkm
vnd.spotfire.dxp|.dxp
vnd.spotfire.sfs|.sfs
vnd.stardivision.calc|.sdc
vnd.stardivision.draw|.sda
vnd.stardivision.impress|.sdd
vnd.stardivision.math|.smf
vnd.stardivision.writer|.sdw
vnd.stardivision.writer-global|.sgl
vnd.stepmania.stepchart|.sm
vnd.sun.j2me.app-descriptor|.jad
vnd.sun.xml.calc|.sxc
vnd.sun.xml.calc.template|.stc
vnd.sun.xml.draw|.sxd
vnd.sun.xml.draw.template|.std
vnd.sun.xml.impress|.sxi
vnd.sun.xml.impress.template|.sti
vnd.sun.xml.math|.sxm
vnd.sun.xml.writer|.sxw
vnd.sun.xml.writer.global|.sxg
vnd.sun.xml.writer.template|.stw
vnd.sus-calendar|.sus
vnd.svd|.svd
vnd.symbian.install|.sis
vnd.syncml.dm+wbxml|.bdm
vnd.syncml.dm+xml|.xdm
vnd.syncml+xml|.xsm
vnd.tao.intent-module-archive|.tao
vnd.tmobile-livetv|.tmo
vnd.trid.tpt|.tpt
vnd.triscape.mxs|.mxs
vnd.trueapp|.tra
vnd.ufdl|.ufd
vnd.uiq.theme|.utz
vnd.umajin|.umj
vnd.unity|.unityweb
vnd.uoml+xml|.uoml
vnd.uvvu.mp4|.uvu
vnd.vcx|.vcx
vnd.visio|.vsd
vnd.visio2013|.vsdx
vnd.visionary|.vis
vnd.vivo|.viv
vnd.vsf|.vsf
vnd.vtu|.vtu
vnd.wap.wbmp|.wbmp
vnd.wap.wbxml|.wbxml
vnd.wap.wml|.wml
vnd.wap.wmlc|.wmlc
vnd.wap.wmlscript|.wmls
vnd.wap.wmlscriptc|.wmlsc
vnd.webturbo|.wtb
vnd.wolfram.player|.nbp
vnd.wordperfect|.wpd
vnd.wqd|.wqd
vnd.wt.stf|.stf
vnd.xara|.xar
vnd.xfdl|.xfdl
vnd.xiff|.xif
vnd.yamaha.hv-dic|.hvd
vnd.yamaha.hv-script|.hvs
vnd.yamaha.hv-voice|.hvp
vnd.yamaha.openscoreformat|.osf
vnd.yamaha.openscoreformat.osfpvg+xml|.osfpvg
vnd.yamaha.smaf-audio|.saf
vnd.yamaha.smaf-phrase|.spf
vnd.yellowriver-custom-menu|.cmp
vnd.zul|.zir
vnd.zzazz.deck+xml|.zaz
voicexml+xml|.vxml
vrml|.wrl
webm|.webm
webp|.webp
widget|.wgt
winhlp|.hlp
wsdl+xml|.wsdl
wspolicy+xml|.wspolicy
x-7z-compressed|.7z
x-aac|.aac
x-abiword|.abw
x-ace-compressed|.ace
x-aiff|.aif
x-apple-diskimage|.dmg
x-asm|.s
x-authorware-bin|.aab
x-authorware-map|.aam
x-authorware-seg|.aas
x-bcpio|.bcpio
x-bittorrent|.torrent
x-bzip|.bz
x-bzip2|.bz2
x-c|.c
x-cdf|.cda
x-cdlink|.vcd
x-cdx|.cdx
x-chat|.chat
x-chess-pgn|.pgn
x-cif|.cif
x-citrix-jpeg|.jpeg
x-citrix-png|.png
x-cmdf|.cmdf
x-cml|.cml
x-cmu-raster|.ras
x-cmx|.cmx
x-cooltalk|.ice
x-cpio|.cpio
x-csh|.csh
x-csml|.csml
x-debian-package|.deb
x-director|.dir
x-doom|.wad
x-dtbncx+xml|.ncx
x-dtbook+xml|.dtb
x-dtbresource+xml|.res
x-dvi|.dvi
x-f4v|.f4v
x-fli|.fli
x-flv|.flv
x-font-bdf|.bdf
x-font-ghostscript|.gsf
x-font-linux-psf|.psf
x-font-otf|.otf
x-font-pcf|.pcf
x-font-snf|.snf
x-font-ttf|.ttf
x-font-type1|.pfa
x-font-woff|.woff
x-fortran|.f
x-freearc|.arc
x-freehand|.fh
x-futuresplash|.spl
x-gnumeric|.gnumeric
x-gtar|.gtar
x-hdf|.hdf
x-icon|.ico
x-java-jnlp-file|.jnlp
x-java-source,java|.java
x-latex|.latex
x-m4v|.m4v
x-mobipocket-ebook|.prc
x-mpegurl|.m3u
x-ms-application|.application
x-ms-asf|.asf
x-ms-wax|.wax
x-ms-wm|.wm
x-ms-wma|.wma
x-ms-wmd|.wmd
x-ms-wmv|.wmv
x-ms-wmx|.wmx
x-ms-wmz|.wmz
x-ms-wvx|.wvx
x-ms-xbap|.xbap
x-msaccess|.mdb
x-msbinder|.obd
x-mscardfile|.crd
x-msclip|.clp
x-msdownload|.exe
X-msdos-batch|.bat
x-msmediaview|.mvb
x-msmetafile|.wmf
x-msmoney|.mny
x-mspublisher|.pub
x-msschedule|.scd
x-msterminal|.trm
x-msvideo|.avi
x-mswrite|.wri
x-netcdf|.nc
x-pascal|.p
x-pcx|.pcx
x-pict|.pic
x-pkcs12|.p12
x-pkcs7-certificates|.p7b
x-pkcs7-certreqresp|.p7r
x-pn-realaudio|.ram
x-pn-realaudio-plugin|.rmp
x-png|.png
x-portable-anymap|.pnm
x-portable-bitmap|.pbm
x-portable-graymap|.pgm
x-portable-pixmap|.ppm
